series,ts,value,version
dendrometer1_ch3,31.05.19 23:00,8336.181641,1
dendrometer1_ch3,31.05.19 23:10,8336.181641,1
dendrometer1_ch3,31.05.19 23:20,8336.108398,1
dendrometer1_ch3,31.05.19 23:30,8335.571289,1
dendrometer1_ch3,31.05.19 23:40,8335.571289,1
dendrometer1_ch3,31.05.19 23:50,8335.571289,1
dendrometer1_ch3,01.06.19 00:00,8335.571289,1
dendrometer1_ch3,01.06.19 00:10,8335.571289,1
dendrometer1_ch3,01.06.19 00:20,8335.571289,1
dendrometer1_ch3,01.06.19 00:30,8335.571289,1
dendrometer1_ch3,01.06.19 00:40,-99999,1
dendrometer1_ch3,01.06.19 00:50,-99999,1
dendrometer1_ch3,01.06.19 01:00,-99999,1
dendrometer1_ch3,01.06.19 01:10,8336.181641,1
dendrometer1_ch3,01.06.19 01:20,8336.181641,1
dendrometer1_ch3,01.06.19 01:30,8336.181641,1
dendrometer1_ch3,01.06.19 01:40,8336.181641,1
dendrometer1_ch3,01.06.19 01:50,8336.181641,1
dendrometer1_ch3,01.06.19 02:00,NA,1
dendrometer1_ch3,01.06.19 02:10,NA,1
dendrometer1_ch3,01.06.19 02:20,NA,1
dendrometer1_ch3,01.06.19 02:30,NA,1
dendrometer1_ch3,01.06.19 02:40,NA,1
dendrometer1_ch3,01.06.19 02:50,8336.791992,1
dendrometer1_ch3,01.06.19 03:00,8336.791992,1
dendrometer1_ch3,01.06.19 03:10,8336.791992,1
dendrometer1_ch3,01.06.19 03:20,8336.791992,1
dendrometer1_ch3,01.06.19 03:30,8336.791992,1
dendrometer1_ch3,01.06.19 03:40,8336.791992,1
dendrometer1_ch3,01.06.19 03:50,8336.791992,1
dendrometer1_ch3,01.06.19 04:00,8336.791992,1
dendrometer1_ch3,01.06.19 04:10,8336.864217,1
dendrometer1_ch3,01.06.19 04:20,8337.402344,1
dendrometer1_ch3,01.06.19 04:30,8337.402344,1
dendrometer1_ch3,01.06.19 04:40,8337.402344,1
dendrometer1_ch3,01.06.19 04:50,8337.835693,1
dendrometer1_ch3,01.06.19 05:00,8341.786702,1
dendrometer1_ch3,01.06.19 05:10,8347.529093,1
dendrometer1_ch3,01.06.19 05:20,8350.941976,1
dendrometer1_ch3,01.06.19 05:30,8356.395467,1
dendrometer1_ch3,01.06.19 05:40,8357.366943,1
dendrometer1_ch3,01.06.19 05:50,8360.956828,1
dendrometer1_ch3,01.06.19 06:00,8363.647461,1
dendrometer1_ch3,01.06.19 06:10,8363.575236,1
dendrometer1_ch3,01.06.19 06:20,-99999,1
dendrometer1_ch3,01.06.19 06:30,-99999,1
dendrometer1_ch3,01.06.19 06:40,-99999,1
dendrometer1_ch3,01.06.19 06:50,-99999,1
dendrometer1_ch3,01.06.19 07:00,-99999,1
dendrometer1_ch3,01.06.19 07:10,8362.964884,1
dendrometer1_ch3,01.06.19 07:20,8362.354533,1
dendrometer1_ch3,01.06.19 07:30,8361.671956,1
dendrometer1_ch3,01.06.19 07:40,8360.595703,1
dendrometer1_ch3,01.06.19 07:50,8360.523478,1
dendrometer1_ch3,01.06.19 08:00,8359.985352,1
dendrometer1_ch3,01.06.19 08:10,8359.913006,1
dendrometer1_ch3,01.06.19 08:20,8359.375,1
dendrometer1_ch3,01.06.19 08:30,8359.375,1
dendrometer1_ch3,01.06.19 08:40,8359.448242,1
dendrometer1_ch3,01.06.19 08:50,8360.131592,1
dendrometer1_ch3,01.06.19 09:00,8361.206055,1
dendrometer1_ch3,01.06.19 09:10,8361.13383,1
dendrometer1_ch3,01.06.19 09:20,8360.451253,1
dendrometer1_ch3,01.06.19 09:30,8359.302775,1
dendrometer1_ch3,01.06.19 09:40,8358.692424,1
dendrometer1_ch3,01.06.19 09:50,8358.226642,1
dendrometer1_ch3,01.06.19 10:00,8358.764648,1
