"site","temp","day","month"
"Zurich",-2.66521637142487,6,1
"Zurich",-1.14692652376243,7,1
"Zurich",1.99324434356753,8,1
"Zurich",0.912241708014788,9,1
"Zurich",-4.12772177466142,10,1
"Zurich",-3.59091229434282,11,1
"Zurich",-5.28403212715238,21,1
"Zurich",-4.15162629377341,22,1
"Zurich",-3.53685767348985,23,1
"Zurich",-7.17842302722567,24,1
"Zurich",-10.2748051078433,25,1
"Zurich",-6.68425485283437,26,1
"Zurich",-3.33441050744657,27,1
"Zurich",-2.78843318258769,28,1
"Zurich",-1.79577852511216,29,1
"Zurich",2.29034892847083,30,1
"Zurich",-0.0297328970821575,31,1
"Zurich",0.446180950077173,1,2
"Zurich",-4.79996820123851,2,2
"Zurich",-6.35249013884791,3,2
"Zurich",-4.67707812208865,4,2
"Zurich",-2.27690223049518,5,2
"Zurich",-7.54403631580922,6,2
"Zurich",-6.53511704919964,7,2
"Zurich",-9.46424817430614,8,2
"Zurich",-7.91769660146668,9,2
"Zurich",-10.5813536883662,10,2
"Zurich",-5.4786724984445,11,2
"Zurich",-10.1675252639758,12,2
"Zurich",-8.22406925347612,13,2
"Zurich",-8.10299413104105,14,2
"Zurich",-4.11627284028065,15,2
"Zurich",-5.08448628139139,16,2
"Zurich",-4.40184500580693,17,2
"Zurich",-4.79655793295256,18,2
"Zurich",-3.51619465801804,19,2
"Zurich",-7.93202052134258,20,2
"Zurich",-8.83381608648208,21,2
"Zurich",-13.4055908017426,22,2
"Zurich",-10.0689430146007,23,2
"Zurich",-11.9072939589159,24,2
"Zurich",-7.21506580336334,25,2
"Zurich",-6.65456006557178,26,2
"Zurich",-4.54978295515433,27,2
"Zurich",-4.48795909653461,28,2
"Zurich",-3.39818090257923,1,3
"Zurich",-7.47445450075438,2,3
"Zurich",-2.63761014270096,3,3
"Zurich",2.84601673427641,4,3
"Zurich",2.82182371375185,5,3
"Zurich",4.60539959367996,6,3
"Zurich",4.55342727627814,7,3
"Zurich",4.59350468238361,8,3
"Zurich",2.70951573593762,9,3
"Zurich",1.60741787316311,10,3
"Zurich",0.0793558077200025,11,3
"Zurich",-0.0713989411591673,12,3
"Zurich",-5.44496226122167,13,3
"Zurich",-10.7656050278976,14,3
"Zurich",-7.69704970729202,15,3
"Zurich",-3.6204219289009,16,3
"Zurich",0.248682882626465,17,3
"Zurich",-3.92960945169182,18,3
"Zurich",-2.41263085646412,19,3
"Zurich",-1.7489581341543,20,3
"Zurich",-2.06839328253536,21,3
"Zurich",1.6139547202973,22,3
"Zurich",0.292901076333244,23,3
"Zurich",-5.58379605111923,24,3
"Zurich",-5.70199898454881,25,3
"Zurich",-8.72542991516216,26,3
"Zurich",-4.33940923936917,27,3
"Zurich",-2.83061000364999,28,3
"Zurich",-3.4644352853307,29,3
"Zurich",-2.40733577657787,30,3
"Zurich",-4.19812688415745,31,3
"Zurich",-5.02509680694595,1,4
"Zurich",-3.81227266574986,2,4
"Zurich",-4.86780687357341,3,4
"Zurich",-0.373821444649414,4,4
"Zurich",-3.69593708868882,5,4
"Zurich",-2.77946321471602,6,4
"Zurich",-4.75430460897583,7,4
"Zurich",-1.78713211122475,8,4
"Zurich",-1.0584241997298,9,4
"Zurich",1.62210098005207,10,4
"Zurich",4.64778008636532,11,4
"Zurich",1.44338610431657,12,4
"Zurich",3.09960708575934,13,4
"Zurich",8.81258067075327,14,4
"Bern",0.64749133640553,6,1
"Bern",1.34075681192661,7,1
"Bern",5.13277189814815,8,1
"Bern",3.82629018099548,9,1
"Bern",-0.760644839449541,10,1
"Bern",-1.60927325,11,1
"Bern",-1.87396888888889,21,1
"Bern",-2.28608699186992,22,1
"Bern",-0.191746349206349,23,1
"Bern",-5.93960308943089,24,1
"Bern",-6.67920787401575,25,1
"Bern",-5.34311394957983,26,1
"Bern",0.00317476190476188,27,1
"Bern",-0.640635243902439,28,1
"Bern",1.48460748062016,29,1
"Bern",5.48974410852713,30,1
"Bern",3.18499965116279,31,1
"Bern",3.26372829411765,1,2
"Bern",-1.407900234375,2,2
